Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2018,TCS,2701.2,2682.3,2694.8,2635.0,2650.0,2645.6,2654.94,675880.0,179442000000000.0,19464.0,330691.0,0.4893
02-01-2018,TCS,2645.6,2660.0,2669.6,2620.2,,2631.2,2641.06,960145.0,253580000000000.0,46813.0,555820.0,0.5789
03-01-2018,TCS,2631.2,2632.0,,2631.2,2639.0,2638.65,2649.21,628560.0,166519000000000.0,32104.0,361072.0,0.5744
04-01-2018,TCS,2638.65,2650.0,2662.0,2640.0,2650.0,2657.1,2649.94,456541.0,120981000000000.0,32647.0,264561.0,0.5795
05-01-2018,TCS,,2650.0,2699.5,2650.0,2695.0,2689.2,2684.95,576853.0,154882000000000.0,30836.0,318083.0,0.5514
08-01-2018,TCS,,2700.0,2726.85,2681.85,2708.8,2714.4,2709.74,621110.0,168305000000000.0,43815.0,345599.0,0.5564
09-01-2018,TCS,2714.4,2715.0,2721.0,2676.55,,2709.0,2703.56,,290551000000000.0,47403.0,612650.0,0.5701
10-01-2018,TCS,,2711.0,2816.0,2694.65,2803.0,2806.6,2763.3,1682925.0,465042000000000.0,70764.0,699460.0,
11-01-2018,TCS,2806.6,2810.0,2821.9,2782.2,2792.5,2790.5,2796.58,1260524.0,352516000000000.0,,,0.4587
12-01-2018,TCS,2790.5,,2805.0,2740.55,2769.9,2776.35,2764.28,1680157.0,464442000000000.0,90884.0,472438.0,0.2812
15-01-2018,TCS,2776.35,2777.15,2808.0,2735.05,2737.4,2746.1,2768.32,728607.0,201701000000000.0,49926.0,394675.0,
16-01-2018,TCS,2746.1,2756.0,2861.65,2750.55,2860.0,2850.85,2834.5,2133876.0,604846000000000.0,,639155.0,
17-01-2018,TCS,2850.85,2870.0,,2862.15,2895.0,2888.95,2900.36,2140403.0,620795000000000.0,94873.0,965845.0,0.4512
,TCS,2888.95,2897.0,2933.0,2868.05,2926.55,2918.2,2896.35,1104739.0,,51786.0,568379.0,0.5145
19-01-2018,TCS,2918.2,2930.55,2982.0,2903.65,2974.85,2959.3,2930.77,910000.0,266700000000000.0,44039.0,436952.0,0.4802
22-01-2018,TCS,2959.3,2961.0,3134.7,2922.0,3090.0,3116.4,3052.16,2183555.0,,97757.0,663651.0,0.3039
23-01-2018,TCS,3116.4,3114.95,3142.35,3090.05,3097.9,3102.0,3112.03,1619805.0,504088000000000.0,,705309.0,0.4354
24-01-2018,TCS,3102.0,3090.0,3259.05,3082.65,3174.95,3174.6,3189.59,2810769.0,896519000000000.0,111512.0,862385.0,0.3068
25-01-2018,TCS,3174.6,3175.0,3179.8,3081.0,3133.0,3121.05,3123.06,1916922.0,598666000000000.0,,925615.0,0.4829
29-01-2018,TCS,3121.05,3131.4,3225.0,3122.0,3199.25,3198.85,3196.14,,501964000000000.0,,832172.0,0.5299
30-01-2018,TCS,3198.85,,,3143.7,3152.15,3152.85,3166.46,787379.0,,,384193.0,0.4879
31-01-2018,TCS,3152.85,3137.0,3150.0,3098.6,3111.15,,3119.14,1521607.0,474611000000000.0,,978756.0,0.6432
01-02-2018,TCS,3112.35,,3190.0,3088.8,3150.0,3138.6,3146.24,1200315.0,,66084.0,310672.0,
02-02-2018,TCS,,3120.0,3190.0,3103.45,,3153.65,3167.25,1228245.0,,,586030.0,0.4771
,TCS,3153.65,3110.0,3188.0,3076.85,3110.0,3103.2,3118.75,1378871.0,,75866.0,655249.0,0.4752
06-02-2018,TCS,3103.2,3010.0,3077.15,2985.0,3000.0,2997.25,3020.91,1328653.0,401374000000000.0,,728147.0,0.548
07-02-2018,TCS,2997.25,3027.0,3031.0,2947.45,,2955.05,2975.26,1090162.0,324351000000000.0,55520.0,506385.0,0.4645
08-02-2018,TCS,2955.05,,3027.6,,2966.2,2974.2,3000.15,1377502.0,,63513.0,601956.0,0.437
09-02-2018,TCS,2974.2,2950.0,2994.0,2896.65,2978.3,2971.7,2940.4,1051229.0,309104000000000.0,71919.0,421771.0,
12-02-2018,TCS,2971.7,2978.3,3023.35,2955.55,2960.15,2967.3,2981.33,987281.0,294341000000000.0,49385.0,512025.0,
14-02-2018,TCS,2967.3,2970.0,,2892.5,2900.0,2911.8,,1423766.0,418537000000000.0,81932.0,880898.0,0.6187
15-02-2018,TCS,,2931.95,2943.0,2905.1,2922.0,2925.85,,1232618.0,360595000000000.0,42920.0,702569.0,0.57
16-02-2018,TCS,2925.85,2923.0,2999.6,2923.0,2931.0,2933.05,2965.52,1257878.0,,52987.0,425282.0,0.3381
19-02-2018,TCS,2933.05,,2953.3,2895.2,2923.65,2923.6,2928.1,784112.0,,37241.0,332759.0,0.4244
20-02-2018,TCS,,2928.0,,2927.9,2943.0,2944.75,2959.27,944534.0,279513000000000.0,60862.0,401169.0,0.4247
21-02-2018,TCS,2944.75,2974.0,3062.6,2960.05,3042.35,3042.3,3016.25,1544614.0,465894000000000.0,96721.0,673804.0,0.4362
22-02-2018,TCS,3042.3,3052.0,3079.0,3022.5,3040.05,3050.2,3047.84,1731505.0,527734000000000.0,83526.0,796578.0,0.46
,TCS,3050.2,3050.0,3089.0,2992.1,,3075.8,3044.72,1681250.0,511894000000000.0,86645.0,706762.0,0.4204
26-02-2018,TCS,3075.8,3075.0,3089.95,3021.2,3025.6,3031.7,3044.1,681941.0,207589000000000.0,45004.0,292334.0,
27-02-2018,TCS,3031.7,3041.0,3078.55,3032.0,3042.0,3042.35,3054.42,858900.0,,49207.0,299428.0,0.3486
28-02-2018,TCS,,,3063.95,3021.45,3033.4,,3040.16,1353432.0,411465000000000.0,80437.0,,0.6366
01-03-2018,TCS,3035.05,3049.0,,3020.0,3033.0,3037.7,3042.25,859062.0,261348000000000.0,77493.0,522085.0,0.6077
05-03-2018,TCS,3037.7,3049.0,3113.65,3032.95,3103.0,3105.85,3075.76,1429084.0,439552000000000.0,81638.0,785748.0,0.5498
,TCS,3105.85,3122.0,3127.0,,3041.0,3042.8,3087.33,953382.0,294340000000000.0,60270.0,469034.0,0.492
